id_sv,ten_sv,ngay_sinh,gioi_tinh,uu_tien,khu_vuc,diem_khuyen_khich,ma_tinh,loai_thi_sinh
84595781397,Họ Tên 0,2002-12-01,Nam,Đối tượng 1,KV3,1.08,845,Thí sinh tự do
89112434873,Họ Tên 1,2006-01-10,Nam,Đối tượng 1,KV2,0.92,891,Thí sinh không phải tự do
55866489186,Họ Tên 2,2003-03-06,Nam,Đối tượng 2,KV2,1.27,558,Thí sinh không phải tự do
30748445119,Họ Tên 3,2002-11-22,Nữ,Đối tượng 1,KV3,0.13,307,Thí sinh không phải tự do
71814915062,Họ Tên 4,2002-08-18,Nữ,Đối tượng 1,KV1,1.37,718,Thí sinh tự do
53460808529,Họ Tên 5,2002-09-21,Nữ,Không,KV2,0.58,534,Thí sinh tự do
11228373302,Họ Tên 6,2005-01-25,Nam,Đối tượng 2,KV1,1.21,112,Thí sinh không phải tự do
94557920123,Họ Tên 7,2006-03-28,Nữ,Không,KV1,1.6,945,Thí sinh tự do
92626415143,Họ Tên 8,2003-11-29,Nữ,Đối tượng 1,KV2,0.84,926,Thí sinh không phải tự do
65468980012,Họ Tên 9,2004-07-15,Nam,Không,KV2,0.18,654,Thí sinh không phải tự do
50778831686,Họ Tên 10,2006-08-13,Nam,Đối tượng 2,KV3,0.89,507,Thí sinh tự do
78562363010,Họ Tên 11,2004-04-13,Nữ,Không,KV2,0.43,785,Thí sinh tự do
25440372820,Họ Tên 12,2004-02-08,Nữ,Đối tượng 2,KV1,1.29,254,Thí sinh tự do
86677816967,Họ Tên 13,2004-01-22,Nam,Đối tượng 1,KV2,1.09,866,Thí sinh tự do
35998503020,Họ Tên 14,2003-03-19,Nữ,Đối tượng 1,KV3,1.31,359,Thí sinh tự do
67213541747,Họ Tên 15,2005-02-11,Nữ,Không,KV2,1.64,672,Thí sinh tự do
57716116781,Họ Tên 16,2005-12-10,Nam,Không,KV3,0.09,577,Thí sinh không phải tự do
54860041264,Họ Tên 17,2004-07-08,Nam,Đối tượng 2,KV3,0.81,548,Thí sinh không phải tự do
71017071028,Họ Tên 18,2005-01-27,Nữ,Không,KV3,1.6,710,Thí sinh tự do
22738948890,Họ Tên 19,2002-11-29,Nam,Đối tượng 1,KV1,1.58,227,Thí sinh không phải tự do
11068404038,Họ Tên 20,2005-12-09,Nữ,Đối tượng 1,KV1,0.58,110,Thí sinh tự do
31025751154,Họ Tên 21,2006-06-20,Nam,Không,KV2,0.2,310,Thí sinh không phải tự do
74159760416,Họ Tên 22,2006-08-02,Nam,Không,KV2,1.34,741,Thí sinh tự do
75043940114,Họ Tên 23,2002-01-26,Nữ,Không,KV3,1.55,750,Thí sinh tự do
73403881874,Họ Tên 24,2005-09-29,Nữ,Không,KV3,1.59,734,Thí sinh tự do
22542818468,Họ Tên 25,2004-10-19,Nữ,Đối tượng 2,KV3,1.8,225,Thí sinh không phải tự do
69121657381,Họ Tên 26,2004-12-15,Nữ,Đối tượng 1,KV3,0.8,691,Thí sinh tự do
24797602977,Họ Tên 27,2005-04-19,Nam,Không,KV1,1.11,247,Thí sinh không phải tự do
41517502989,Họ Tên 28,2002-04-06,Nữ,Đối tượng 1,KV1,0.69,415,Thí sinh tự do
24129862258,Họ Tên 29,2004-08-18,Nam,Đối tượng 1,KV3,0.13,241,Thí sinh tự do
21051165314,Họ Tên 30,2004-03-23,Nữ,Đối tượng 1,KV3,1.6,210,Thí sinh không phải tự do
59879463190,Họ Tên 31,2004-05-12,Nam,Không,KV3,0.35,598,Thí sinh không phải tự do
75490828731,Họ Tên 32,2002-09-17,Nữ,Đối tượng 2,KV1,0.31,754,Thí sinh tự do
61076944008,Họ Tên 33,2005-07-02,Nữ,Đối tượng 2,KV2,1.57,610,Thí sinh tự do
46427861444,Họ Tên 34,2006-08-16,Nữ,Đối tượng 1,KV3,0.83,464,Thí sinh tự do
14505670665,Họ Tên 35,2002-01-17,Nam,Không,KV3,0.43,145,Thí sinh không phải tự do
79158118223,Họ Tên 36,2005-12-14,Nữ,Đối tượng 2,KV1,1.09,791,Thí sinh tự do
12152378954,Họ Tên 37,2004-06-07,Nam,Đối tượng 2,KV3,1.37,121,Thí sinh tự do
95777462447,Họ Tên 38,2002-01-04,Nam,Đối tượng 1,KV2,0.24,957,Thí sinh không phải tự do
77225542041,Họ Tên 39,2002-02-14,Nữ,Đối tượng 2,KV1,0.38,772,Thí sinh tự do
22611718843,Họ Tên 40,2003-12-28,Nam,Đối tượng 1,KV2,1.02,226,Thí sinh không phải tự do
62595342958,Họ Tên 41,2002-09-15,Nam,Đối tượng 2,KV2,0.76,625,Thí sinh tự do
47485856480,Họ Tên 42,2003-12-17,Nữ,Đối tượng 2,KV1,0.46,474,Thí sinh tự do
64880934816,Họ Tên 43,2006-04-08,Nữ,Không,KV1,0.47,648,Thí sinh tự do
19255667391,Họ Tên 44,2002-02-02,Nữ,Đối tượng 1,KV3,1.3,192,Thí sinh không phải tự do
69504266910,Họ Tên 45,2004-04-03,Nam,Đối tượng 2,KV3,1.76,695,Thí sinh tự do
69191787774,Họ Tên 46,2005-07-26,Nữ,Đối tượng 2,KV1,0.75,691,Thí sinh tự do
54052458390,Họ Tên 47,2004-12-13,Nam,Không,KV2,0.17,540,Thí sinh không phải tự do
71308274281,Họ Tên 48,2006-05-31,Nam,Đối tượng 2,KV3,0.37,713,Thí sinh không phải tự do
65738133169,Họ Tên 49,2004-10-26,Nam,Đối tượng 2,KV2,1.23,657,Thí sinh tự do
35862831779,Họ Tên 50,2002-12-02,Nam,Không,KV3,1.16,358,Thí sinh không phải tự do
41735097142,Họ Tên 51,2005-03-17,Nam,Đối tượng 2,KV3,1.77,417,Thí sinh tự do
86652374900,Họ Tên 52,2002-09-24,Nam,Đối tượng 2,KV2,0.22,866,Thí sinh tự do
79304953894,Họ Tên 53,2006-07-03,Nữ,Đối tượng 1,KV3,1.85,793,Thí sinh không phải tự do
59651460386,Họ Tên 54,2004-11-06,Nữ,Không,KV3,0.29,596,Thí sinh tự do
64739661844,Họ Tên 55,2003-05-04,Nữ,Đối tượng 2,KV2,1.5,647,Thí sinh không phải tự do
23079639953,Họ Tên 56,2003-05-01,Nữ,Không,KV1,0.26,230,Thí sinh tự do
10690503462,Họ Tên 57,2006-12-03,Nam,Không,KV1,1.02,106,Thí sinh không phải tự do
56676026411,Họ Tên 58,2005-08-08,Nam,Đối tượng 1,KV1,1.4,566,Thí sinh tự do
33124275042,Họ Tên 59,2004-04-04,Nữ,Không,KV3,1.41,331,Thí sinh không phải tự do
87000749016,Họ Tên 60,2006-02-19,Nữ,Đối tượng 2,KV1,1.58,870,Thí sinh không phải tự do
13524292543,Họ Tên 61,2006-05-21,Nam,Đối tượng 1,KV3,1.43,135,Thí sinh tự do
82103918750,Họ Tên 62,2003-10-02,Nữ,Không,KV2,0.79,821,Thí sinh không phải tự do
53277706412,Họ Tên 63,2002-01-20,Nam,Đối tượng 2,KV1,1.65,532,Thí sinh không phải tự do
93612440928,Họ Tên 64,2004-05-04,Nam,Đối tượng 2,KV3,1.91,936,Thí sinh không phải tự do
15209026010,Họ Tên 65,2003-09-04,Nữ,Không,KV3,1.68,152,Thí sinh không phải tự do
65641622083,Họ Tên 66,2006-11-21,Nữ,Đối tượng 2,KV1,0.18,656,Thí sinh tự do
42739288558,Họ Tên 67,2005-04-21,Nam,Không,KV3,0.05,427,Thí sinh không phải tự do
81570071662,Họ Tên 68,2002-08-05,Nữ,Đối tượng 2,KV1,0.49,815,Thí sinh tự do
12665695779,Họ Tên 69,2005-01-15,Nam,Không,KV1,0.12,126,Thí sinh không phải tự do
80886847074,Họ Tên 70,2003-11-16,Nam,Đối tượng 1,KV2,0.84,808,Thí sinh không phải tự do
24607656995,Họ Tên 71,2002-11-26,Nam,Đối tượng 1,KV3,0.78,246,Thí sinh tự do
57223070454,Họ Tên 72,2003-12-06,Nữ,Không,KV1,0.24,572,Thí sinh không phải tự do
79515609114,Họ Tên 73,2004-03-30,Nữ,Không,KV3,1.07,795,Thí sinh tự do
85412421195,Họ Tên 74,2003-10-28,Nam,Đối tượng 1,KV3,1.16,854,Thí sinh tự do
16123047924,Họ Tên 75,2002-10-07,Nam,Đối tượng 2,KV2,1.04,161,Thí sinh không phải tự do
60281772236,Họ Tên 76,2002-05-30,Nữ,Đối tượng 1,KV1,1.4,602,Thí sinh không phải tự do
50720614725,Họ Tên 77,2004-02-07,Nữ,Không,KV1,1.29,507,Thí sinh tự do
60797178778,Họ Tên 78,2005-03-11,Nam,Đối tượng 2,KV3,0.33,607,Thí sinh không phải tự do
95207281077,Họ Tên 79,2002-01-23,Nữ,Đối tượng 2,KV1,1.01,952,Thí sinh tự do
24163844192,Họ Tên 80,2005-10-09,Nam,Đối tượng 2,KV2,1.22,241,Thí sinh không phải tự do
82676367558,Họ Tên 81,2006-01-01,Nữ,Đối tượng 2,KV2,1.65,826,Thí sinh không phải tự do
36397435891,Họ Tên 82,2005-04-19,Nữ,Không,KV3,0.05,363,Thí sinh tự do
80504872270,Họ Tên 83,2003-11-10,Nam,Đối tượng 1,KV1,1.14,805,Thí sinh không phải tự do
55577803376,Họ Tên 84,2004-11-29,Nữ,Đối tượng 2,KV2,1.38,555,Thí sinh tự do
64738113619,Họ Tên 85,2002-08-13,Nữ,Đối tượng 1,KV2,1.0,647,Thí sinh tự do
25082207717,Họ Tên 86,2005-08-13,Nam,Đối tượng 2,KV2,1.48,250,Thí sinh không phải tự do
36800828708,Họ Tên 87,2006-05-01,Nữ,Không,KV3,1.48,368,Thí sinh không phải tự do
62453213953,Họ Tên 88,2004-12-08,Nữ,Đối tượng 1,KV3,1.9,624,Thí sinh tự do
85246224863,Họ Tên 89,2004-03-08,Nữ,Đối tượng 1,KV3,0.53,852,Thí sinh tự do
44044911555,Họ Tên 90,2005-03-05,Nữ,Không,KV2,0.8,440,Thí sinh tự do
84656068562,Họ Tên 91,2004-01-06,Nữ,Đối tượng 2,KV3,0.25,846,Thí sinh tự do
89353752741,Họ Tên 92,2004-01-15,Nữ,Không,KV2,1.64,893,Thí sinh tự do
85648499130,Họ Tên 93,2005-12-29,Nữ,Đối tượng 2,KV2,0.32,856,Thí sinh không phải tự do
97888208826,Họ Tên 94,2004-04-14,Nữ,Đối tượng 1,KV2,0.75,978,Thí sinh không phải tự do
16489050892,Họ Tên 95,2004-04-12,Nữ,Đối tượng 1,KV3,0.71,164,Thí sinh tự do
69908113982,Họ Tên 96,2005-09-03,Nam,Đối tượng 2,KV1,1.9,699,Thí sinh không phải tự do
53128280158,Họ Tên 97,2002-12-04,Nam,Đối tượng 1,KV1,1.17,531,Thí sinh không phải tự do
73234919195,Họ Tên 98,2003-08-13,Nữ,Đối tượng 2,KV3,1.16,732,Thí sinh không phải tự do
57281285531,Họ Tên 99,2006-02-25,Nam,Đối tượng 2,KV3,0.67,572,Thí sinh tự do
33941192878,Họ Tên 100,2006-02-04,Nam,Không,KV2,0.41,339,Thí sinh không phải tự do
58872636928,Họ Tên 101,2005-07-25,Nữ,Đối tượng 2,KV3,0.6,588,Thí sinh tự do
12828941843,Họ Tên 102,2005-05-14,Nữ,Đối tượng 1,KV1,1.34,128,Thí sinh không phải tự do
61290239448,Họ Tên 103,2004-07-29,Nữ,Đối tượng 1,KV1,1.56,612,Thí sinh không phải tự do
47935386586,Họ Tên 104,2002-01-25,Nữ,Không,KV1,1.26,479,Thí sinh tự do
80426617721,Họ Tên 105,2006-09-06,Nam,Không,KV3,1.73,804,Thí sinh tự do
28562188851,Họ Tên 106,2003-12-29,Nam,Đối tượng 2,KV1,0.68,285,Thí sinh tự do
33767791348,Họ Tên 107,2006-01-08,Nữ,Không,KV1,0.94,337,Thí sinh không phải tự do
27296780558,Họ Tên 108,2005-11-02,Nam,Đối tượng 2,KV3,1.65,272,Thí sinh không phải tự do
22887171580,Họ Tên 109,2002-11-06,Nữ,Đối tượng 1,KV1,0.21,228,Thí sinh không phải tự do
71443304116,Họ Tên 110,2002-08-26,Nam,Không,KV2,0.65,714,Thí sinh tự do
95426827185,Họ Tên 111,2002-03-18,Nam,Không,KV3,1.55,954,Thí sinh không phải tự do
72758279952,Họ Tên 112,2002-03-06,Nữ,Đối tượng 1,KV2,1.18,727,Thí sinh tự do
74522614406,Họ Tên 113,2002-11-03,Nam,Đối tượng 2,KV3,1.32,745,Thí sinh tự do
10810601966,Họ Tên 114,2006-06-26,Nam,Đối tượng 2,KV1,0.98,108,Thí sinh không phải tự do
58244977743,Họ Tên 115,2006-01-23,Nam,Đối tượng 2,KV1,0.12,582,Thí sinh không phải tự do
69886761863,Họ Tên 116,2002-07-23,Nữ,Không,KV2,0.08,698,Thí sinh tự do
32085228286,Họ Tên 117,2006-02-14,Nữ,Đối tượng 2,KV1,0.18,320,Thí sinh không phải tự do
80656500308,Họ Tên 118,2004-11-17,Nam,Không,KV3,0.76,806,Thí sinh không phải tự do
71164951804,Họ Tên 119,2004-01-29,Nữ,Đối tượng 2,KV2,0.91,711,Thí sinh không phải tự do
10324249756,Họ Tên 120,2002-04-23,Nữ,Không,KV1,1.27,103,Thí sinh không phải tự do
49972029781,Họ Tên 121,2005-03-21,Nam,Đối tượng 1,KV1,1.55,499,Thí sinh không phải tự do
61942931935,Họ Tên 122,2004-06-26,Nam,Không,KV3,0.73,619,Thí sinh tự do
97427209996,Họ Tên 123,2002-09-03,Nữ,Đối tượng 1,KV3,1.1,974,Thí sinh không phải tự do
85189267066,Họ Tên 124,2002-02-25,Nam,Không,KV1,0.04,851,Thí sinh không phải tự do
62685587300,Họ Tên 125,2002-03-16,Nữ,Đối tượng 1,KV2,1.7,626,Thí sinh không phải tự do
35226710927,Họ Tên 126,2005-04-14,Nữ,Không,KV2,0.56,352,Thí sinh tự do
82485340485,Họ Tên 127,2006-09-09,Nữ,Đối tượng 2,KV2,1.87,824,Thí sinh tự do
65842264808,Họ Tên 128,2005-03-08,Nữ,Đối tượng 1,KV1,0.67,658,Thí sinh không phải tự do
79938176520,Họ Tên 129,2005-12-25,Nữ,Đối tượng 1,KV1,0.86,799,Thí sinh không phải tự do
41785521625,Họ Tên 130,2002-10-27,Nữ,Không,KV3,1.33,417,Thí sinh không phải tự do
19115241387,Họ Tên 131,2004-01-24,Nữ,Không,KV2,0.54,191,Thí sinh tự do
75790701257,Họ Tên 132,2006-11-25,Nữ,Đối tượng 2,KV2,1.85,757,Thí sinh không phải tự do
82318706586,Họ Tên 133,2002-03-01,Nam,Đối tượng 2,KV2,0.95,823,Thí sinh tự do
29835379242,Họ Tên 134,2005-05-21,Nam,Đối tượng 2,KV1,0.69,298,Thí sinh tự do
45857486873,Họ Tên 135,2005-12-11,Nam,Không,KV2,0.9,458,Thí sinh không phải tự do
44433333119,Họ Tên 136,2006-03-13,Nam,Đối tượng 1,KV1,1.01,444,Thí sinh không phải tự do
56821003283,Họ Tên 137,2003-06-26,Nam,Đối tượng 1,KV2,1.75,568,Thí sinh không phải tự do
14814858317,Họ Tên 138,2005-07-19,Nam,Không,KV1,1.74,148,Thí sinh không phải tự do
13993614298,Họ Tên 139,2002-03-20,Nữ,Đối tượng 2,KV1,0.5,139,Thí sinh tự do
85143801511,Họ Tên 140,2006-12-25,Nam,Không,KV2,0.19,851,Thí sinh tự do
28950116085,Họ Tên 141,2004-01-18,Nữ,Không,KV1,1.87,289,Thí sinh tự do
88620641353,Họ Tên 142,2006-09-10,Nữ,Đối tượng 1,KV3,1.33,886,Thí sinh không phải tự do
99452215140,Họ Tên 143,2005-04-06,Nữ,Không,KV1,1.34,994,Thí sinh không phải tự do
70805549968,Họ Tên 144,2005-10-14,Nam,Không,KV2,0.96,708,Thí sinh không phải tự do
33162968001,Họ Tên 145,2004-03-14,Nam,Không,KV3,1.27,331,Thí sinh tự do
83739809504,Họ Tên 146,2006-01-29,Nữ,Đối tượng 1,KV3,1.52,837,Thí sinh tự do
99426037715,Họ Tên 147,2002-08-19,Nam,Đối tượng 2,KV2,0.55,994,Thí sinh tự do
62735384642,Họ Tên 148,2005-07-29,Nữ,Đối tượng 1,KV3,0.5,627,Thí sinh không phải tự do
27812204132,Họ Tên 149,2006-10-25,Nữ,Không,KV1,1.15,278,Thí sinh tự do
46285725193,Họ Tên 150,2003-02-16,Nam,Đối tượng 1,KV2,1.37,462,Thí sinh tự do
26938115158,Họ Tên 151,2005-07-03,Nam,Không,KV3,1.47,269,Thí sinh không phải tự do
77794258567,Họ Tên 152,2006-11-01,Nam,Đối tượng 2,KV2,1.55,777,Thí sinh không phải tự do
46589158599,Họ Tên 153,2005-04-13,Nữ,Đối tượng 1,KV3,1.32,465,Thí sinh không phải tự do
64308300352,Họ Tên 154,2004-05-08,Nam,Đối tượng 2,KV1,1.88,643,Thí sinh không phải tự do
85432088495,Họ Tên 155,2003-01-07,Nam,Đối tượng 2,KV3,1.92,854,Thí sinh tự do
88301483831,Họ Tên 156,2006-01-27,Nữ,Đối tượng 1,KV1,1.77,883,Thí sinh tự do
23740265720,Họ Tên 157,2003-03-30,Nam,Đối tượng 1,KV2,1.14,237,Thí sinh tự do
19843686339,Họ Tên 158,2003-10-22,Nam,Đối tượng 1,KV1,1.04,198,Thí sinh không phải tự do
58945466920,Họ Tên 159,2006-02-27,Nữ,Đối tượng 2,KV1,0.63,589,Thí sinh tự do
65747663455,Họ Tên 160,2004-11-27,Nữ,Đối tượng 1,KV1,1.63,657,Thí sinh không phải tự do
19560511330,Họ Tên 161,2003-01-14,Nam,Không,KV1,0.02,195,Thí sinh tự do
35739154755,Họ Tên 162,2006-08-08,Nữ,Đối tượng 1,KV2,0.13,357,Thí sinh tự do
17735375563,Họ Tên 163,2004-07-12,Nữ,Không,KV1,0.19,177,Thí sinh tự do
65347988988,Họ Tên 164,2004-10-26,Nữ,Không,KV3,0.4,653,Thí sinh không phải tự do
23900515372,Họ Tên 165,2002-06-07,Nam,Không,KV1,0.27,239,Thí sinh tự do
90590328870,Họ Tên 166,2005-11-21,Nữ,Không,KV1,0.04,905,Thí sinh không phải tự do
93382305481,Họ Tên 167,2003-05-17,Nữ,Đối tượng 1,KV3,1.37,933,Thí sinh tự do
83703022175,Họ Tên 168,2002-01-10,Nam,Đối tượng 1,KV3,1.91,837,Thí sinh tự do
79424191152,Họ Tên 169,2004-06-16,Nam,Đối tượng 2,KV2,1.04,794,Thí sinh tự do
60596097072,Họ Tên 170,2003-11-24,Nam,Không,KV2,1.85,605,Thí sinh không phải tự do
75425748214,Họ Tên 171,2006-12-16,Nam,Đối tượng 2,KV3,1.01,754,Thí sinh tự do
86716305538,Họ Tên 172,2002-10-29,Nam,Không,KV3,0.5,867,Thí sinh tự do
47176610176,Họ Tên 173,2006-01-24,Nam,Đối tượng 2,KV1,1.15,471,Thí sinh tự do
94455208263,Họ Tên 174,2003-12-29,Nữ,Đối tượng 2,KV2,1.96,944,Thí sinh không phải tự do
18750586214,Họ Tên 175,2004-02-06,Nam,Không,KV2,1.41,187,Thí sinh không phải tự do
55228033885,Họ Tên 176,2003-09-28,Nam,Đối tượng 2,KV2,0.83,552,Thí sinh tự do
99803210572,Họ Tên 177,2002-08-27,Nữ,Đối tượng 1,KV2,0.68,998,Thí sinh tự do
55565967898,Họ Tên 178,2004-05-16,Nữ,Đối tượng 2,KV1,1.22,555,Thí sinh không phải tự do
50865633324,Họ Tên 179,2004-06-10,Nam,Không,KV2,0.29,508,Thí sinh không phải tự do
69736566334,Họ Tên 180,2002-06-21,Nam,Đối tượng 2,KV3,0.89,697,Thí sinh tự do
92201109803,Họ Tên 181,2002-08-20,Nữ,Không,KV3,1.87,922,Thí sinh tự do
39348703913,Họ Tên 182,2005-02-25,Nữ,Không,KV3,1.18,393,Thí sinh không phải tự do
29979105528,Họ Tên 183,2005-05-12,Nam,Đối tượng 2,KV2,0.12,299,Thí sinh tự do
39216290749,Họ Tên 184,2004-04-16,Nữ,Đối tượng 2,KV3,0.25,392,Thí sinh không phải tự do
19465549330,Họ Tên 185,2006-08-19,Nam,Đối tượng 1,KV1,1.61,194,Thí sinh tự do
